cpg_id	beta_variance	n_observed
cg15876513	0.2426399906497465	418
cg25675027	0.24212748559148323	418
cg03888765	0.24190688899730545	418
cg01923549	0.24190561470940722	418
cg03015899	0.24182582396245852	418
cg27611584	0.24172153879725466	418
cg23245800	0.2417167406844995	418
cg21188017	0.2414288316310576	418
cg27452185	0.2411750490617629	418
cg19436016	0.24100729253164588	418
cg20348895	0.24098386056860918	418
cg15790839	0.24081459327909707	418
cg03576123	0.2407876257838403	418
cg06846819	0.2407714894321919	418
cg10925417	0.24064162440243475	418
cg20024953	0.2406332098803252	418
cg16353608	0.24062771422264737	418
cg19601293	0.24057057980839033	418
cg07569018	0.24036738325552987	418
cg18005972	0.24035504799151305	418
cg00650088	0.2403399353461352	418
cg13978767	0.24032553051264194	418
cg05289873	0.24029050739508953	418
cg06900650	0.24026195631652125	418
cg07204739	0.2402350797571216	418
cg05770241	0.24009970565124528	418
cg19640789	0.24009481658560017	418
cg17086759	0.24009327088489807	418
cg15986238	0.2399883975789185	418
cg18831841	0.23995977054062223	418
cg15780870	0.23995789937127307	418
cg16381253	0.23993791812211354	418
cg00872414	0.2399329922590767	418
cg13662851	0.23990374550489285	418
cg05138918	0.23989653209421832	418
cg11910105	0.239821465528204	418
cg11055242	0.23980989428551036	418
cg23884159	0.23972729436499907	418
cg17129028	0.2397238797479146	418
cg03973866	0.23965412111052042	418
cg26769118	0.23964947230624992	418
cg10503298	0.23964372906309078	418
cg17524867	0.23962731803203854	418
cg22694548	0.23961913737732787	418
cg14839905	0.2395529171117703	418
cg02969343	0.23954915976894303	418
cg14586363	0.2394748961750047	418
cg19251573	0.2394514318030903	418
cg10666224	0.23944810600148805	418
cg02414650	0.23943641550367933	418
cg25837207	0.23942987940244873	418
cg16047223	0.23936980209370942	418
cg13455067	0.23936317750648917	418
cg23674904	0.23935272945953553	418
cg05684569	0.23934497164468044	418
cg01305596	0.23932516279328925	418
cg12577695	0.2393138244035914	418
cg16176929	0.2392863073679481	418
cg21433332	0.23928153154117257	418
cg23237976	0.23927432936896073	418
cg26751440	0.2392646698777834	418
cg02787560	0.23925403874635684	418
cg04045327	0.2391986052792246	418
cg17602885	0.23918620718193417	418
cg03620623	0.23918286595715207	418
cg15013257	0.239176959084222	418
cg23349227	0.23916970024376008	418
cg11214430	0.2391661035526938	418
cg19531507	0.23915572613631567	418
cg01724941	0.2391542839642046	418
cg24391931	0.23914758096486197	418
cg19552441	0.239137054847867	418
cg18099632	0.23912112916886824	418
cg08561895	0.23911044544294235	418
cg04296903	0.239098616485058	418
cg05166248	0.23908723400256718	418
cg22795216	0.23908563096136842	418
cg14418275	0.23900280447426342	418
cg05035248	0.23894611124160786	418
cg25551362	0.2389410708699464	418
cg03373490	0.23894024250124932	418
cg20202563	0.2389122841969195	418
cg27417659	0.23886839416055253	418
cg10297430	0.23886234212005933	418
cg00907473	0.23885934950640425	418
cg10632969	0.23885825686062584	418
cg06383648	0.23882591253373558	418
cg23834688	0.23877597596528458	418
cg11972327	0.23875874135879213	418
cg27197524	0.23875546107008958	418
cg05474707	0.23874192519911158	418
cg20679271	0.23873212531250051	418
cg02264195	0.2387172552210145	418
cg08851851	0.2387005862184312	418
cg20741134	0.2386959937742815	418
cg27485530	0.23869565782656438	418
cg27561293	0.2386690676429671	418
cg23500559	0.23864962522823066	418
cg27624702	0.23864808720750072	418
cg23586121	0.23864637705280117	418
cg27598661	0.23864510714779505	418
cg08330572	0.23863516717695146	418
cg22057899	0.2386191297856711	418
cg19976997	0.23861200200105964	418
cg03549024	0.23861158149008307	418
cg26301689	0.23860666520648494	418
cg11817453	0.238598792076667	418
cg25124228	0.23858715831379754	418
cg03760035	0.23857122816105783	418
cg22770088	0.23856736918537616	418
cg13579661	0.2385574595474565	418
cg07729303	0.2385210667026336	418
cg06674436	0.23851991596527186	418
cg02667487	0.23850623166546722	418
cg06947205	0.23848621940320477	418
cg16757605	0.23848553874397838	418
cg08497649	0.23847791102538163	418
cg17561243	0.23847555299165055	418
cg11473189	0.2384583876316186	418
cg07387931	0.23844142974173685	418
cg23645931	0.23843608948328376	418
cg16706374	0.2384318320488883	418
cg16752925	0.2384150610859198	418
cg16186873	0.23840037021346	418
cg00413870	0.23836898922568128	418
cg24534173	0.23836725739796394	418
cg15862271	0.23835648585482216	418
cg18592294	0.2383434528224866	418
cg24965497	0.23834267905931636	418
cg07747923	0.2383394458541742	418
cg00426425	0.23832481179173062	418
cg13359749	0.2383211946408968	418
cg20973421	0.2383184603046098	418
cg10288921	0.2383010718197595	418
cg25411327	0.2383002539342436	418
cg23080013	0.23828995055703825	418
cg01296694	0.23828478747620824	418
cg11363615	0.2382846707327895	418
cg21236379	0.2382813042863144	418
cg21836418	0.238271592961847	418
cg06540149	0.23826611313927387	418
cg26878675	0.23824967593687713	418
cg11709150	0.23821604545774255	418
cg03159563	0.23821168068188553	418
cg20517764	0.2381786752114809	418
cg12208381	0.2381786544422877	418
cg01288350	0.23816907756166794	418
cg09304136	0.23816853231956575	418
cg09138524	0.2381658610963906	418
cg14262490	0.23812743318920288	418
cg23630758	0.23811251800499236	418
cg01036050	0.23808098643177597	418
cg19523618	0.23808005365362292	418
cg06933816	0.23806664279508358	418
cg24524522	0.23805720491263505	418
cg25216538	0.23803332348250553	418
cg10555010	0.238032137050663	418
cg03872804	0.2380292837286236	418
cg20664996	0.23800622586832504	418
cg13959595	0.238005769479134	418
cg19296153	0.23799302785657506	418
cg01449704	0.23797425901525285	418
cg12413602	0.23792362681283896	418
cg09520857	0.23792071379644747	418
cg00145838	0.23791246897224386	418
cg01547142	0.23791229581601223	418
cg20745568	0.23789777037851442	418
cg02190678	0.23788223023906188	418
cg22705204	0.23787953245059443	418
cg11515873	0.23787315629615519	418
cg05597850	0.23786346146546702	418
cg09174502	0.2378581223881136	418
cg00340847	0.2378369240984175	418
cg18024037	0.2378314861905456	418
cg16156434	0.2378306898583003	418
cg24523322	0.23782235022443962	418
cg03633073	0.23782160472301028	418
cg01136335	0.23781224365116535	418
cg03754582	0.23780791328219777	418
cg18496502	0.2378073333818879	418
cg13857689	0.23780012748122903	418
cg17341326	0.23779985911779958	418
cg10802543	0.23779530023984516	418
cg14522847	0.23779180363816713	418
cg21524424	0.23778522345266143	418
cg20255817	0.23777987788472155	418
cg06293719	0.23775727720440668	418
cg14419393	0.2377405605945274	418
cg23702321	0.23774031894372888	418
cg09902913	0.23774000602766965	418
cg00387107	0.23773556451735062	418
cg07591937	0.23771380437806203	418
cg11026874	0.23770946425960707	418
cg19275838	0.2377030926481558	418
cg22830844	0.23769930946510787	418
